Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1. Home Page,50,1015,1031,1100,1116,1404,854,1404,100.000%,.50543,2.46,0.11
2. Find Flights,50,734,724,791,810,890,662,890,10.000%,.50874,3.71,0.19
3. Purchase Page,50,746,731,790,828,1206,676,1206,8.000%,.50825,3.45,0.13
4. Confirm Purchase,50,773,731,796,905,1980,664,1980,10.000%,.50790,2.98,0.27
TOTAL,200,817,745,1040,1083,1263,662,1980,32.000%,1.97521,12.26,0.68
