timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,testRun
1780000000000,455,4. Confirm Purchase-1,200,OK,BlazeDemo 1-3,text,TRUE,,5780,132,2,2,https://blazedemo.com/confirmation.php,447,0,0,site1_50
1780000000000,746,2. Find Flights,200,OK,BlazeDemo 1-4,text,TRUE,,7475,373,1,1,https://blazedemo.com/reserve.php,302,0,0,site1_50
1780000000000,302,2. Find Flights-0,302,Found,BlazeDemo 1-4,text,TRUE,,230,246,1,1,http://blazedemo.com/reserve.php,302,0,0,site1_50
1780000000000,444,2. Find Flights-1,200,OK,BlazeDemo 1-4,text,TRUE,,7245,127,1,1,https://blazedemo.com/reserve.php,438,0,0,site1_50
1780000000000,733,3. Purchase Page,200,OK,BlazeDemo 1-4,text,TRUE,,6946,256,2,2,https://blazedemo.com/purchase.php,309,0,0,site1_50
1780000000000,309,3. Purchase Page-0,302,Found,BlazeDemo 1-4,text,TRUE,,231,128,2,2,http://blazedemo.com/purchase.php,309,0,0,site1_50
1780000000000,423,3. Purchase Page-1,200,OK,BlazeDemo 1-4,text,TRUE,,6715,128,2,2,https://blazedemo.com/purchase.php,419,0,0,site1_50
1780000000000,828,1. Home Page,200,OK,BlazeDemo 1-5,text,FALSE,"The operation lasted too long: It took 828 milliseconds, but should not have lasted longer than 820 milliseconds.",4976,232,2,2,https://blazedemo.com/,345,0,39,site1_50
1780000000000,345,1. Home Page-0,302,Found,BlazeDemo 1-5,text,TRUE,,219,116,2,2,http://blazedemo.com/,345,0,39,site1_50
1780000000000,482,1. Home Page-1,200,OK,BlazeDemo 1-5,text,TRUE,,4757,116,2,2,https://blazedemo.com/,476,0,109,site1_50
1780000000000,724,4. Confirm Purchase,200,OK,BlazeDemo 1-4,text,TRUE,,6019,543,2,2,https://blazedemo.com/confirmation.php,280,0,0,site1_50
1780000000000,280,4. Confirm Purchase-0,302,Found,BlazeDemo 1-4,text,TRUE,,235,411,2,2,http://blazedemo.com/confirmation.php,280,0,0,site1_50
1780000000000,444,4. Confirm Purchase-1,200,OK,BlazeDemo 1-4,text,TRUE,,5784,132,2,2,https://blazedemo.com/confirmation.php,439,0,0,site1_50
1780000000000,655,2. Find Flights,200,OK,BlazeDemo 1-5,text,TRUE,,7479,373,1,1,https://blazedemo.com/reserve.php,280,0,0,site1_50
1780000000000,280,2. Find Flights-0,302,Found,BlazeDemo 1-5,text,TRUE,,230,246,1,1,http://blazedemo.com/reserve.php,280,0,0,site1_50
1780000000000,375,2. Find Flights-1,200,OK,BlazeDemo 1-5,text,TRUE,,7249,127,1,1,https://blazedemo.com/reserve.php,367,0,0,site1_50
1780000000000,748,3. Purchase Page,200,OK,BlazeDemo 1-5,text,TRUE,,6946,256,2,2,https://blazedemo.com/purchase.php,306,0,0,site1_50
1780000000000,306,3. Purchase Page-0,302,Found,BlazeDemo 1-5,text,TRUE,,231,128,2,2,http://blazedemo.com/purchase.php,306,0,0,site1_50
1780000000000,442,3. Purchase Page-1,200,OK,BlazeDemo 1-5,text,TRUE,,6715,128,2,2,https://blazedemo.com/purchase.php,433,0,0,site1_50
1780000000000,702,4. Confirm Purchase,200,OK,BlazeDemo 1-5,text,TRUE,,6015,543,2,2,https://blazedemo.com/confirmation.php,302,0,0,site1_50
1780000000000,302,4. Confirm Purchase-0,302,Found,BlazeDemo 1-5,text,TRUE,,235,411,2,2,http://blazedemo.com/confirmation.php,302,0,0,site1_50
1780000000000,400,4. Confirm Purchase-1,200,OK,BlazeDemo 1-5,text,TRUE,,5780,132,2,2,https://blazedemo.com/confirmation.php,400,0,0,site1_50
1780000000000,1048,1. Home Page,200,OK,BlazeDemo 1-6,text,FALSE,"The operation lasted too long: It took 1,048 milliseconds, but should not have lasted longer than 820 milliseconds.",4976,232,1,1,https://blazedemo.com/,339,0,38,site1_50
1780000000000,339,1. Home Page-0,302,Found,BlazeDemo 1-6,text,TRUE,,219,116,1,1,http://blazedemo.com/,339,0,38,site1_50
1780000000000,708,1. Home Page-1,200,OK,BlazeDemo 1-6,text,TRUE,,4757,116,1,1,https://blazedemo.com/,688,0,169,site1_50
