Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1. Login Page,100,951,739,967,1554,5400,669,5997,44.000%,1.00060,4.39,0.16
2. Login Submit,100,721,668,876,1025,1196,614,1215,22.000%,1.05713,6.26,0.54
3. Dashboard,100,716,660,860,948,1140,601,1178,25.000%,1.05950,6.14,0.43
4. Employee List,100,715,672,828,926,1164,607,1332,19.000%,1.05725,6.13,0.43
5. Organization Information,100,727,669,913,1000,1191,598,1332,27.000%,1.05638,6.12,0.45
TOTAL,500,766,691,900,1026,1554,598,5997,27.400%,4.85673,26.90,1.85
