Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1. Home Page,100,1624,1034,3048,6482,10484,0,11472,100.000%,.99990,4.29,0.18
2. Find Flights,100,607,702,899,967,1055,0,2152,39.000%,1.01152,6.25,0.29
3. Purchase Page,100,686,713,902,1064,3402,0,5474,41.000%,.98449,5.69,0.19
4. Confirm Purchase,100,652,706,981,1089,1977,0,2285,39.000%,.98509,4.99,0.41
TOTAL,400,892,731,1105,1977,7478,0,11472,54.750%,3.80141,20.26,1.02
